   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   13600  1.95179578E-04  4.21973112E-05  1.37069019E-01  1.37069323E-01  2.52274675E-03
   13700 -2.26820699E-05 -9.04395364E-05  1.37007958E-01  1.37008485E-01  2.44487407E-03
   13800 -6.25418512E-05 -6.48850352E-05  1.36823885E-01  1.36824323E-01  2.42481368E-03
   13900  5.70126895E-06  5.80430987E-05  1.36837375E-01  1.36838058E-01  2.55758211E-03
   14000  3.63021345E-05  1.20530391E-04  1.36821351E-01  1.36821669E-01  2.49034777E-03
   14100 -7.95021448E-05 -1.74920509E-04  1.37073745E-01  1.37074166E-01  2.59997726E-03
   14200 -3.34723162E-04 -6.57670583E-05  1.36905999E-01  1.36906972E-01  2.69018160E-03
   14300  2.30358372E-05 -9.23035626E-05  1.36871252E-01  1.36871823E-01  2.67267689E-03
   14400 -8.45180265E-06  9.32498858E-05  1.36801887E-01  1.36802657E-01  2.59381016E-03
   14500 -1.62484330E-05  1.92463533E-04  1.36764723E-01  1.36765148E-01  2.59566647E-03
   14600 -1.70198366E-05 -1.40317001E-05  1.36732609E-01  1.36733063E-01  2.64367161E-03
   14700 -1.35671247E-04  8.01397614E-05  1.36716936E-01  1.36718187E-01  2.62446210E-03
   14800 -1.72800288E-05  8.64721101E-05  1.36835021E-01  1.36835505E-01  2.60910365E-03
   14900  2.50458072E-06  1.50951678E-04  1.36847431E-01  1.36847835E-01  2.49696139E-03
   15000 -1.55939422E-04  2.08758848E-05  1.36615823E-01  1.36616649E-01  2.58649970E-03
   15100 -3.74662934E-05 -1.73607071E-04  1.36774174E-01  1.36774641E-01  2.60498492E-03
   15200 -7.38433418E-05  1.67470723E-04  1.36793709E-01  1.36794657E-01  2.54519018E-03
   15300 -8.26814381E-05  9.15673326E-05  1.36826915E-01  1.36827440E-01  2.57280609E-03
   15400 -1.21711057E-04 -3.27610484E-04  1.36959164E-01  1.36959956E-01  2.66313552E-03
   15500  8.60562739E-05 -8.71681431E-06  1.36863554E-01  1.36863953E-01  2.66496749E-03
   15600  1.04452940E-05  2.73059707E-04  1.36830205E-01  1.36830981E-01  2.76392584E-03
   15700 -1.83053770E-04  1.42588546E-04  1.36711062E-01  1.36711648E-01  2.98786971E-03
   15800  1.96219358E-04  1.09627680E-05  1.36895079E-01  1.36895845E-01  2.57552818E-03
   15900  3.31236653E-05 -1.59844387E-04  1.36767638E-01  1.36768387E-01  2.61152297E-03
   16000  1.70456768E-04 -2.62135287E-06  1.36855069E-01  1.36855561E-01  2.64759223E-03
   16100  3.27751089E-06 -4.80381048E-05  1.36666824E-01  1.36667343E-01  2.81409318E-03
   16200  1.78882616E-04 -4.72924460E-05  1.37091047E-01  1.37091787E-01  2.60216229E-03
   16300  2.73949599E-04 -8.32225099E-05  1.36981631E-01  1.36982557E-01  2.61810032E-03
   16400  1.38638951E-04 -8.18023206E-05  1.36501910E-01  1.36502095E-01  2.70604057E-03
   16500  8.54220748E-05 -6.05256606E-05  1.36591034E-01  1.36591572E-01  2.53368925E-03
   16600  1.58796771E-05  1.45850422E-04  1.36951529E-01  1.36951912E-01  2.69119007E-03
   16700  1.36136901E-04  1.51686708E-04  1.36725720E-01  1.36726104E-01  2.63957278E-03
   16800  6.41776672E-05  1.79514803E-05  1.36905792E-01  1.36905989E-01  2.77454952E-03
   16900  9.25441791E-05 -1.19069426E-04  1.36846491E-01  1.36846826E-01  2.64061256E-03
   17000 -4.68788951E-06 -5.78121526E-05  1.36716686E-01  1.36717745E-01  2.52940671E-03
   17100  1.10257044E-04  4.74833294E-05  1.36771586E-01  1.36772018E-01  2.65322283E-03
   17200  1.01837322E-04  1.84271242E-04  1.36816152E-01  1.36816794E-01  2.55297155E-03
   17300  7.04757143E-05  4.19298128E-04  1.36735967E-01  1.36737258E-01  2.53481868E-03
